raceId,driverId,stop,lap,duration,milliseconds
846,1,2,43,464:19:41,19347
846,15,2,46,625:33:36,26065
846,18,3,48,592:04:48,24670
846,1,3,49,647:26:53,26977
846,5,2,52,621:04:19,25878
846,3,3,53,602:47:02,25116
846,813,2,54,616:29:17,25687
846,17,2,55,630:27:22,26269
846,153,2,56,661:12:00,27550
846,67,2,62,601:04:48,25045
846,816,2,63,635:08:10,26464
846,16,2,68,669:05:46,27879
846,22,2,68,616:12:00,25675
846,2,2,69,630:44:38,26281
847,18,1,8,567:36:00,23650
847,24,1,9,652:50:53,27202
847,18,2,13,348:01:26,14501
847,22,1,15,559:19:12,23305
847,16,1,16,577:14:53,24052
847,4,1,17,573:25:55,23893
847,3,1,17,554:31:12,23105
847,813,1,17,565:42:14,23571
847,67,1,17,574:46:34,23949
847,816,1,17,579:25:55,24143
847,30,1,18,587:19:41,24472
847,4,2,19,632:21:07,26348
847,18,3,19,572:49:55,23868
847,3,2,19,551:39:50,22986
847,153,1,19,625:04:48,26045
847,22,2,19,601:35:02,25066
847,5,1,19,1056:53:17,44037
847,15,1,19,1240:24:58,51684
847,813,2,19,598:37:55,24943
847,20,1,20,572:55:41,23872
847,17,1,20,709:06:14,29546
847,67,2,20,591:34:34,24649
847,13,1,21,597:15:50,24886
847,30,2,21,580:42:14,24196
847,816,2,23,731:55:41,30497
847,816,3,33,591:43:12,24655
847,30,3,34,547:58:05,22832
847,16,2,34,550:09:07,22923
847,10,1,34,586:12:00,24425
847,22,3,34,592:24:58,24684
847,67,3,34,575:16:48,23970
847,2,1,35,554:42:43,23113
847,814,1,35,539:29:46,22479
847,18,4,35,566:08:10,23589
847,37,1,35,726:54:43,30288
847,153,2,35,596:42:43,24863
847,813,3,35,566:13:55,23593
847,24,2,35,837:31:41,34897
847,155,1,36,568:29:17,23687
847,13,2,36,545:48:29,22742
847,808,1,36,571:35:02,23816
847,17,2,36,537:38:53,22402
847,4,3,36,627:05:46,26129
847,3,3,36,545:38:24,22735
847,15,2,36,559:58:05,23332
847,816,4,36,348:54:43,14538
847,20,2,37,550:59:31,22958
847,39,1,37,698:45:36,29115
