date_id,full_date,day,month,month_name,quarter,year,weekday,weekday_name,is_weekend,is_holiday
19960825,1996-08-25,25,8,August,3,1996,7,Sunday,True,False
19960908,1996-09-08,8,9,September,3,1996,7,Sunday,True,False
19960922,1996-09-22,22,9,September,3,1996,7,Sunday,True,False
19961013,1996-10-13,13,10,October,4,1996,7,Sunday,True,False
19950326,1995-03-26,26,3,March,1,1995,7,Sunday,True,False
19950409,1995-04-09,9,4,April,2,1995,7,Sunday,True,False
19950430,1995-04-30,30,4,April,2,1995,7,Sunday,True,False
19950514,1995-05-14,14,5,May,2,1995,7,Sunday,True,False
19950528,1995-05-28,28,5,May,2,1995,7,Sunday,True,False
19950611,1995-06-11,11,6,June,2,1995,7,Sunday,True,False
19950702,1995-07-02,2,7,July,3,1995,7,Sunday,True,False
19950716,1995-07-16,16,7,July,3,1995,7,Sunday,True,False
19950730,1995-07-30,30,7,July,3,1995,7,Sunday,True,False
19950813,1995-08-13,13,8,August,3,1995,7,Sunday,True,False
19950827,1995-08-27,27,8,August,3,1995,7,Sunday,True,False
19950910,1995-09-10,10,9,September,3,1995,7,Sunday,True,False
19950924,1995-09-24,24,9,September,3,1995,7,Sunday,True,False
19951001,1995-10-01,1,10,October,4,1995,7,Sunday,True,False
19951022,1995-10-22,22,10,October,4,1995,7,Sunday,True,False
19951029,1995-10-29,29,10,October,4,1995,7,Sunday,True,False
19951112,1995-11-12,12,11,November,4,1995,7,Sunday,True,False
19940327,1994-03-27,27,3,March,1,1994,7,Sunday,True,False
19940417,1994-04-17,17,4,April,2,1994,7,Sunday,True,False
19940501,1994-05-01,1,5,May,2,1994,7,Sunday,True,False
19940515,1994-05-15,15,5,May,2,1994,7,Sunday,True,False
19940529,1994-05-29,29,5,May,2,1994,7,Sunday,True,False
19940612,1994-06-12,12,6,June,2,1994,7,Sunday,True,False
19940703,1994-07-03,3,7,July,3,1994,7,Sunday,True,False
19940710,1994-07-10,10,7,July,3,1994,7,Sunday,True,False
19940731,1994-07-31,31,7,July,3,1994,7,Sunday,True,False
19940814,1994-08-14,14,8,August,3,1994,7,Sunday,True,False
19940828,1994-08-28,28,8,August,3,1994,7,Sunday,True,False
19940911,1994-09-11,11,9,September,3,1994,7,Sunday,True,False
19940925,1994-09-25,25,9,September,3,1994,7,Sunday,True,False
19941016,1994-10-16,16,10,October,4,1994,7,Sunday,True,False
19941106,1994-11-06,6,11,November,4,1994,7,Sunday,True,False
19941113,1994-11-13,13,11,November,4,1994,7,Sunday,True,False
19930314,1993-03-14,14,3,March,1,1993,7,Sunday,True,False
19930328,1993-03-28,28,3,March,1,1993,7,Sunday,True,False
19930411,1993-04-11,11,4,April,2,1993,7,Sunday,True,False
19930425,1993-04-25,25,4,April,2,1993,7,Sunday,True,False
19930509,1993-05-09,9,5,May,2,1993,7,Sunday,True,False
19930523,1993-05-23,23,5,May,2,1993,7,Sunday,True,False
19930613,1993-06-13,13,6,June,2,1993,7,Sunday,True,False
19930704,1993-07-04,4,7,July,3,1993,7,Sunday,True,False
19930711,1993-07-11,11,7,July,3,1993,7,Sunday,True,False
19930725,1993-07-25,25,7,July,3,1993,7,Sunday,True,False
19930815,1993-08-15,15,8,August,3,1993,7,Sunday,True,False
19930829,1993-08-29,29,8,August,3,1993,7,Sunday,True,False
19930912,1993-09-12,12,9,September,3,1993,7,Sunday,True,False
19930926,1993-09-26,26,9,September,3,1993,7,Sunday,True,False
19931024,1993-10-24,24,10,October,4,1993,7,Sunday,True,False
19931107,1993-11-07,7,11,November,4,1993,7,Sunday,True,False
19920301,1992-03-01,1,3,March,1,1992,7,Sunday,True,False
19920322,1992-03-22,22,3,March,1,1992,7,Sunday,True,False
19920405,1992-04-05,5,4,April,2,1992,7,Sunday,True,False
19920503,1992-05-03,3,5,May,2,1992,7,Sunday,True,False
19920517,1992-05-17,17,5,May,2,1992,7,Sunday,True,False
19920531,1992-05-31,31,5,May,2,1992,7,Sunday,True,False
19920614,1992-06-14,14,6,June,2,1992,7,Sunday,True,False
19920705,1992-07-05,5,7,July,3,1992,7,Sunday,True,False
19920712,1992-07-12,12,7,July,3,1992,7,Sunday,True,False
19920726,1992-07-26,26,7,July,3,1992,7,Sunday,True,False
19920816,1992-08-16,16,8,August,3,1992,7,Sunday,True,False
19920830,1992-08-30,30,8,August,3,1992,7,Sunday,True,False
19920913,1992-09-13,13,9,September,3,1992,7,Sunday,True,False
19920927,1992-09-27,27,9,September,3,1992,7,Sunday,True,False
19921025,1992-10-25,25,10,October,4,1992,7,Sunday,True,False
19921108,1992-11-08,8,11,November,4,1992,7,Sunday,True,False
19910310,1991-03-10,10,3,March,1,1991,7,Sunday,True,False
19910324,1991-03-24,24,3,March,1,1991,7,Sunday,True,False
19910428,1991-04-28,28,4,April,2,1991,7,Sunday,True,False
19910512,1991-05-12,12,5,May,2,1991,7,Sunday,True,False
19910602,1991-06-02,2,6,June,2,1991,7,Sunday,True,False
19910616,1991-06-16,16,6,June,2,1991,7,Sunday,True,False
19910707,1991-07-07,7,7,July,3,1991,7,Sunday,True,False
19910714,1991-07-14,14,7,July,3,1991,7,Sunday,True,False
19910728,1991-07-28,28,7,July,3,1991,7,Sunday,True,False
19910811,1991-08-11,11,8,August,3,1991,7,Sunday,True,False
19910825,1991-08-25,25,8,August,3,1991,7,Sunday,True,False
19910908,1991-09-08,8,9,September,3,1991,7,Sunday,True,False
19910922,1991-09-22,22,9,September,3,1991,7,Sunday,True,False
19910929,1991-09-29,29,9,September,3,1991,7,Sunday,True,False
19911020,1991-10-20,20,10,October,4,1991,7,Sunday,True,False
19911103,1991-11-03,3,11,November,4,1991,7,Sunday,True,False
19900311,1990-03-11,11,3,March,1,1990,7,Sunday,True,False
19900325,1990-03-25,25,3,March,1,1990,7,Sunday,True,False
19900513,1990-05-13,13,5,May,2,1990,7,Sunday,True,False
19900527,1990-05-27,27,5,May,2,1990,7,Sunday,True,False
19900610,1990-06-10,10,6,June,2,1990,7,Sunday,True,False
19900624,1990-06-24,24,6,June,2,1990,7,Sunday,True,False
19900708,1990-07-08,8,7,July,3,1990,7,Sunday,True,False
19900715,1990-07-15,15,7,July,3,1990,7,Sunday,True,False
19900729,1990-07-29,29,7,July,3,1990,7,Sunday,True,False
19900812,1990-08-12,12,8,August,3,1990,7,Sunday,True,False
19900826,1990-08-26,26,8,August,3,1990,7,Sunday,True,False
19900909,1990-09-09,9,9,September,3,1990,7,Sunday,True,False
